id,name,category,price_tier,neighborhoods,opening_hour,closing_hour,average_rating ,good_for_kids
1,Jabbertype,Indian,cheap,upper east side,10:59,20:00,2,false
2,Voonyx,Indian,cheap,soho,10:59,20:00,2,true
3,Fanoodle,Indian,medium,soho,10:59,20:00,3,true
4,Fiveclub,Japanese,medium,upper east side,10:59,20:00,4,true
5,Brightbean,American,medium,down town,10:59,20:00,3,true
6,Realblab,Japanese,cheap,soho,10:59,20:00,1,false
7,Quinu,Japanese,expensive,upper west side,10:59,20:00,4,true
8,Izio,American,cheap,down town,10:59,20:00,4,false
9,Pixonyx,American,cheap,upper east side,10:59,20:00,3,true
10,Oodoo,American,medium,upper east side,10:59,20:00,2,true
11,Fatz,American,medium,soho,10:59,20:00,2,false
12,Skivee,Chinese,expensive,upper west side,10:59,20:00,3,true
13,Photobug,American,cheap,down town,10:59,20:00,5,false
14,Jabbersphere,Japanese,medium,down town,10:59,20:00,5,false
15,Topicstorm,American,cheap,midtown,10:59,20:00,3,true
16,Tavu,Chinese,medium,upper west side,10:59,20:00,1,true
17,Eazzy,Indian,medium,upper east side,10:59,20:00,1,false
18,Flipopia,Chinese,cheap,upper east side,11:00,20:00,4,true
19,Dynabox,Indian,expensive,upper west side,10:59,20:00,2,true
20,Babbleset,American,expensive,down town,10:59,20:00,1,false
21,Kazu,Japanese,expensive,soho,10:59,20:00,4,false
22,Midel,Japanese,cheap,upper west side,10:59,20:00,3,false
23,Kwideo,Indian,medium,upper east side,10:59,20:00,1,true
24,Devcast,American,medium,midtown,10:59,20:00,3,true
25,Quinu,Japanese,expensive,soho,10:59,20:00,1,false
26,Realfire,Japanese,medium,down town,10:59,20:00,4,false
27,Photolist,Chinese,expensive,upper east side,10:59,20:00,4,false
28,Browsedrive,Japanese,expensive,down town,10:59,20:00,5,false
29,Photolist,Indian,cheap,down town,10:59,20:00,3,true
30,Edgeblab,American,cheap,soho,10:59,20:00,2,true
31,Blogspan,Chinese,cheap,down town,10:59,20:00,3,true
32,Tambee,Chinese,cheap,soho,10:59,20:00,4,false
33,Edgeblab,American,cheap,upper east side,10:59,20:00,1,false
34,Yakidoo,American,expensive,upper west side,10:59,20:00,4,true
35,Izio,Chinese,medium,soho,10:59,20:00,2,true
36,Jayo,Japanese,expensive,midtown,10:59,20:00,5,false
37,Kimia,Japanese,cheap,upper west side,10:59,20:00,5,true
38,Centidel,Indian,expensive,upper west side,11:00,20:00,5,true
39,Youspan,Chinese,cheap,upper west side,10:59,20:00,4,true
40,Thoughtbeat,American,expensive,upper west side,10:59,20:00,1,false
41,Skyba,Indian,medium,upper west side,10:59,20:00,3,false
